Title,Price,Rating,Image
"HP Smart Tank 530 All-in-one WiFi Colour Printer with ADF (Upto 18000 Black and 8000 Colour Pages Included in The Box). - Print, Scan & Copy for Office/Home","₹18,900",3.9 out of 5 stars,https://m.media-amazon.com/images/I/71Td-My5f-L._AC_UY218_.jpg
"HP Smart Tank 585 All-in-one WiFi Colour Printer (Upto 6000 Black and 6000 Colour Pages Included in The Box). - Print, Scan & Copy for Office/Home","₹13,999",4.0 out of 5 stars,https://m.media-amazon.com/images/I/61D+97Gq6aL._AC_UY218_.jpg
"Canon PIXMA E477 All in One (Print, Scan, Copy) WiFi Ink Efficient Colour Printer for Home/Student","₹5,499",3.9 out of 5 stars,https://m.media-amazon.com/images/I/51klz5w3beL._AC_UY218_.jpg
"HP Deskjet 2331 Colour Printer, Scanner and Copier for Home/Small Office, Compact Size, Reliable, Easy Set-Up Through HP Smart App On Your Pc Connected Through USB, Ideal for Home.","₹3,599",3.5 out of 5 stars,https://m.media-amazon.com/images/I/61geKj+Tv9L._AC_UY218_.jpg
"HP Deskjet 2820 Printer, Copy, Scan, WiFi with self Reset, Bluetooth, USB, Simple Setup Smart App, Ideal for Home.","₹4,999",3.6 out of 5 stars,https://m.media-amazon.com/images/I/61oVMkLlMUL._AC_UY218_.jpg
"HP Ink Advantage Ultra 4929 Print, Copy, Scan, Self Reset WiFi, Smart App Setup, Print per Page Cost Starting at 44paise/Page with 2 Additional Sets of Inks, Ideal for Home","₹7,799",4.0 out of 5 stars,https://m.media-amazon.com/images/I/61NmsHpYgrL._AC_UY218_.jpg
Canon Pixma MG2577s All-in-One Inkjet Colour Printer (Blue/White),"₹3,249",3.4 out of 5 stars,https://m.media-amazon.com/images/I/51TgRks3kIL._AC_UY218_.jpg
Everycom EC-58 58mm (2 Inches) Direct Thermal Printer- Monochrome Desktop (1 Year Warranty) (USB),"₹1,789",4.3 out of 5 stars,https://m.media-amazon.com/images/I/613-jTtBmhL._AC_UY218_.jpg
Canon Pixma TS207 Single Function Inkjet Printer (Black),N/A,3.6 out of 5 stars,https://m.media-amazon.com/images/I/71Tl763J68L._AC_UY218_.jpg
"HP Ink Advantage 4278 Printer, Automatic Document Feeder (ADF), Print, Copy, Scan,WiFi,Bluetooth, USB, Simple Setup Smart App, Ideal for Home.","₹6,999",3.6 out of 5 stars,https://m.media-amazon.com/images/I/41CFkPk919L._AC_UY218_.jpg
"Brother DCP-T525W (Print Scan Copy) WiFi Ink Tank Printer, 128 MB Memory, Print Up to 15K Pages in Black and 5K in Color Each for (CMY), Get an Extra Black Ink Bottle, Free Installation","₹15,299",4.2 out of 5 stars,https://m.media-amazon.com/images/I/51NeYRxJ9PL._AC_UY218_.jpg
"HP Smart Tank 580 AIO WiFi Colour Printer with 1 Extra Black Ink Bottle (Upto 12000 Black & 6000 Colour Prints) + 1 Year Extended Warranty with PHA Coverage -Print, Scan & Copy","₹14,619",4.0 out of 5 stars,https://m.media-amazon.com/images/I/61oj0MdwWSL._AC_UY218_.jpg
Epson EcoTank L130 Single Function InkTank Printer,"₹8,899",4.1 out of 5 stars,https://m.media-amazon.com/images/I/714bxKZ5NHL._AC_UY218_.jpg
"Canon PIXMA MegaTank G2012 All in One (Print, Scan, Copy) Inktank Colour Printer with 2 Additional Black Ink Bottles (Per Black Bottle Yield 6000 Prints and Colour 7000 Prints) for Home/Office","₹10,999",4.3 out of 5 stars,https://m.media-amazon.com/images/I/61D1H3so71L._AC_UY218_.jpg
"Canon PIXMA MegaTank G3770 Red All-in-one (Print, Scan, Copy) WiFi Inktank Colour Printer (Black 6000 Prints & Colour 7700 Prints) for Office,Scan The QR Code & Get a JBL Speaker Free on Registration","₹13,499",3.8 out of 5 stars,https://m.media-amazon.com/images/I/71aa2oZ4aAL._AC_UY218_.jpg
Epson EcoTank L3252 Wi-Fi All-in-One Ink Tank Printer (Black),"₹14,299",4.2 out of 5 stars,https://m.media-amazon.com/images/I/512f8pCW7vL._AC_UY218_.jpg
"HP Laser 1008w Printer, Wireless, Single Function, Print, Hi-Speed USB 2.0, Up to 21 ppm, 150-sheet Input Tray, 100-sheet Output Tray, 10,000-page Duty Cycle, 1-Year Warranty, Black and White, 714Z9A","₹12,219",4.2 out of 5 stars,https://m.media-amazon.com/images/I/61pxETXKwnL._AC_UY218_.jpg
Epson EcoTank L3211 All-in-One Ink Tank Printer (Black),"₹10,799",4.1 out of 5 stars,https://m.media-amazon.com/images/I/514Z574sBBL._AC_UY218_.jpg
"HP Ink Advantage 2778 Printer, Copy, Scan, Dual Band WiFi, Bluetooth, USB, Simple Setup Smart App, Ideal for Home","₹5,199",3.8 out of 5 stars,https://m.media-amazon.com/images/I/61Yhl5GfIhL._AC_UY218_.jpg
"ZEITEL® Mini Bluetooth Thermal Printer, Portable Label Printer Inkfree Printer for Android & iOS System, Black on White Thermal Printer with 10 Roll of Print Paper, Stickers, Blue","₹1,999",4.1 out of 5 stars,https://m.media-amazon.com/images/I/71aOfn3PmDL._AC_UY218_.jpg
"HP Smart Tank 670 All-in-One Auto Duplex WiFi Integrated Ink Tank Colour Printer, Scanner, Copier- High Capacity Tank (6000 Black, 8000 Colour) with Automatic Ink Sensor","₹16,999",4.1 out of 5 stars,https://m.media-amazon.com/images/I/71iTKGrwrFL._AC_UY218_.jpg
"Canon PIXMA MegaTank G2012 All in One (Print, Scan, Copy) Inktank Colour Printer with 2 Additional Black Ink Bottles (Per Black Bottle Yield 6000 Prints and Colour 7000 Prints) for Home/Office","₹10,999",4.3 out of 5 stars,https://m.media-amazon.com/images/I/61D1H3so71L._AC_UY218_.jpg
"HP Smart Tank 585 All-in-one WiFi Colour Printer (Upto 6000 Black and 6000 Colour Pages Included in The Box). - Print, Scan & Copy for Office/Home","₹13,999",4.0 out of 5 stars,https://m.media-amazon.com/images/I/61D+97Gq6aL._AC_UY218_.jpg
"HP Smart Tank 589 AIO WiFi Color Printer (Upto 6000 Black and 6000 Colour Pages of Ink in The Box). - Print, Scan & Copy for Office/Home","₹12,999",4.0 out of 5 stars,https://m.media-amazon.com/images/I/61uZGapgvFL._AC_UY218_.jpg
"Canon PIXMA E4570 All in One (Print, Scan, Copy) WiFi Ink Efficient Colour Printer with FAX and Auto Duplex Printing for Home/Office","₹7,499",3.8 out of 5 stars,https://m.media-amazon.com/images/I/617m5Q7ivZL._AC_UY218_.jpg
Epson EcoTank L3211 All-in-One Ink Tank Printer (Black),"₹10,799",4.1 out of 5 stars,https://m.media-amazon.com/images/I/514Z574sBBL._AC_UY218_.jpg
"HP Ink Advantage 2778 Printer, Copy, Scan, Dual Band WiFi, Bluetooth, USB, Simple Setup Smart App, Ideal for Home","₹5,199",3.8 out of 5 stars,https://m.media-amazon.com/images/I/61Yhl5GfIhL._AC_UY218_.jpg
"ZEITEL® Mini Bluetooth Thermal Printer, Portable Label Printer Inkfree Printer for Android & iOS System, Black on White Thermal Printer with 10 Roll of Print Paper, Stickers, Blue","₹1,999",4.1 out of 5 stars,https://m.media-amazon.com/images/I/71aOfn3PmDL._AC_UY218_.jpg
"HP DeskJet 2332 All-in-One Printer, Print, Copy, Scan, Hi-Speed USB 2.0, Up to 7.5/5.5 ppm (Black/Color), 60-Sheet Input Tray, 25-Sheet Output Tray, 1000-page Duty Cycle, Color, 7WN44D","₹4,199",3.6 out of 5 stars,https://m.media-amazon.com/images/I/71-bAHPkOXL._AC_UY218_.jpg
"Canon PIXMA TS3370s All in One (Print, Scan, Copy) WiFi Inkjet Colour Printer for Home","₹5,461",3.3 out of 5 stars,https://m.media-amazon.com/images/I/711yJipUQVL._AC_UY218_.jpg
TSC TE244 Desktop Thermal Transfer Barcode Printer with USB connectivity 203 DPI Bar Code Label Printer,"₹11,499",4.1 out of 5 stars,https://m.media-amazon.com/images/I/61uerbaI1FL._AC_UY218_.jpg
Epson EcoTank L3210 A4 All-in-One Ink Tank Printer,"₹11,799",4.1 out of 5 stars,https://m.media-amazon.com/images/I/41MEanE77SL._AC_UY218_.jpg
"Canon PIXMA MegaTank G2012 All in One (Print, Scan, Copy) Inktank Colour Printer with 2 Additional Black Ink Bottles (Per Black Bottle Yield 6000 Prints and Colour 7000 Prints) for Home/Office","₹10,999",4.3 out of 5 stars,https://m.media-amazon.com/images/I/61D1H3so71L._AC_UY218_.jpg
"HP Smart Tank 529 AIO Colour Printer (Upto 6000 Black & 6000 Colour Pages Included in The Box)- Print, Scan & Copy for Office/Home","₹10,299",3.9 out of 5 stars,https://m.media-amazon.com/images/I/61lOXJvkxsL._AC_UY218_.jpg
"HP Smart Tank 529 AIO Colour Printer (Upto 6000 Black & 6000 Colour Pages Included in The Box)- Print, Scan & Copy for Office/Home","₹10,299",3.9 out of 5 stars,https://m.media-amazon.com/images/I/61lOXJvkxsL._AC_UY218_.jpg
"Helett H30C USB Direct Thermal Label Printer | 203 DP I Resolution | 4×6"" Shipping Label Printer | 152 mm(6"")/s Printing Speed | 32 Bit CPU |Compatible with Windows,Mac,Linux with Paper Holder (white)","₹7,529",4.5 out of 5 stars,https://m.media-amazon.com/images/I/6120I4zgz9L._AC_UY218_.jpg
"Canon PIXMA MegaTank G670 6 Colour, Print,Scan,Copy, High Volume Printing Photo Printer, User Replaceable Print Heads & Maintainence Cartridge","₹18,790",4.3 out of 5 stars,https://m.media-amazon.com/images/I/61xKdI+hdnL._AC_UY218_.jpg
MY PRINT Ecotank L8050 | A4 Size 6 Color Printer | 3D Printer | (with Epson Ink) | PVC Card Print | 2023 Model | (Photo Printer),"₹23,000",4.0 out of 5 stars,https://m.media-amazon.com/images/I/71HYWnKCAoL._AC_UY218_.jpg
"iDPRT SP410 Thermal Label Printer, 203 DPI Bar Code Label Printer, 4×6"" Shipping Label Printer, Compatible with Windows, Mac, Chrome OS","₹7,979",4.0 out of 5 stars,https://m.media-amazon.com/images/I/71n1Lvf3zUL._AC_UY218_.jpg
"RIITEK PeriPage Inkless Pocket Printer; Wireless Bluetooth Portable Thermal Printer with Paper Roll for Picture, Label, Memo, Receipt Printing (White)(1 Year Warranty)","₹2,699",3.9 out of 5 stars,https://m.media-amazon.com/images/I/61z0BIsYm2L._AC_UY218_.jpg
Canon Pixma E470 All-in-One Inkjet Printer (Black),"₹5,349",3.6 out of 5 stars,https://m.media-amazon.com/images/I/51XRimXugOL._AC_UY218_.jpg
Epson EcoTank L3250 A4 Wi-Fi All-in-One Ink Tank Printer Ink,"₹13,799",4.0 out of 5 stars,https://m.media-amazon.com/images/I/514BLc5lxFL._AC_UY218_.jpg
"Brother DCP-L2520D Automatic Duplex Laser Printer with 30 Pages Per Minute Print Speed, Multifunction (Print Scan Copy), 2 in 1 (ID) Copy Button, LCD Display, 32 MB Memory, 250 Sheet Paper Tray, USB","₹17,399",4.3 out of 5 stars,https://m.media-amazon.com/images/I/61PX4h+IeuL._AC_UY218_.jpg
"Brother DCP-T525W (Print Scan Copy) WiFi Ink Tank Printer, 128 MB Memory, Print Up to 15K Pages in Black and 5K in Color Each for (CMY), Get an Extra Black Ink Bottle, Free Installation","₹15,299",4.2 out of 5 stars,https://m.media-amazon.com/images/I/51NeYRxJ9PL._AC_UY218_.jpg
